epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8911.5,1.54882,0.97085,1.08745,0.96696,0.96757,0.97449,0.73446,0.97686,0.53056,0.9262,0.0802364,0.000199632,0.000199632
2,17870,1.09369,0.63296,0.93697,0.94561,0.96058,0.98934,0.7959,0.81187,0.48493,0.88121,0.0604328,0.000396036,0.000396036
3,26555.8,0.94144,0.55454,0.89825,0.97546,0.97129,0.98891,0.84664,0.66182,0.37821,0.85088,0.0406256,0.000588839,0.000588839
4,36219.7,0.83805,0.49627,0.87546,0.96207,0.95423,0.99216,0.87578,0.57434,0.3756,0.82662,0.0208148,0.000778042,0.000778042
5,45275.7,0.76867,0.45983,0.86123,0.98255,0.98125,0.9925,0.88979,0.53243,0.33349,0.82524,0.00100041,0.000963646,0.000963646
6,54805.6,0.73322,0.44472,0.85476,0.96871,0.97249,0.99361,0.9046,0.48086,0.31173,0.80687,0.000955,0.000955,0.000955
7,63550.9,0.69522,0.42521,0.84716,0.97708,0.97557,0.99345,0.90823,0.48175,0.302,0.80664,0.000946,0.000946,0.000946
8,72236.2,0.67508,0.40789,0.84244,0.98078,0.98228,0.99424,0.91971,0.44429,0.28568,0.79723,0.000937,0.000937,0.000937
9,93379.6,0.65685,0.39843,0.8388,0.99411,0.99406,0.9942,0.93271,0.40015,0.25759,0.79081,0.000928,0.000928,0.000928
10,106264,0.6339,0.38496,0.8348,0.99524,0.99558,0.99412,0.93148,0.41629,0.25858,0.79359,0.000919,0.000919,0.000919
11,133752,0.61633,0.37374,0.83167,0.99176,0.98914,0.99428,0.93238,0.40463,0.26019,0.79082,0.00091,0.00091,0.00091
